ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration
28,car,0.971794,0.830893,3.13233
52,car,0.971876,0.907565,1.10508
26,car,0.95236,0.819337,3.59626
24,car,0.935721,0.761433,4.35045
27,car,0.942664,0.827665,3.65233
62,car,0.805955,0.782343,0.0276941
57,car,0.856475,0.758713,0.81843
0,person,0.887116,0.53408,8.63025
23,car,0.953906,0.757835,4.7848
35,car,0.883439,0.649397,3.04736
8,person,0.860159,0.610431,8.28427
61,car,0.948542,0.917499,0.539368
53,car,0.767966,0.701155,1.6566
43,car,0.964958,0.855011,2.86865
60,car,0.967083,0.907511,1.28002
47,car,0.97328,0.870141,2.72705
69,car,0.920526,0.904652,0.212087
66,car,0.865823,0.816882,0.530556
37,car,0.956101,0.828587,4.14322
74,car,0.792939,0.734562,0.112976
72,car,0.850077,0.805289,0.649405
51,car,0.972686,0.873984,3.55333
50,car,0.933139,0.808299,3.7193
63,car,0.944347,0.849867,2.64898
55,car,0.966209,0.875545,4.04395
58,car,0.9677,0.861342,4.00263
67,car,0.919642,0.785452,2.71355
59,car,0.96083,0.878311,4.05719
79,car,0.835543,0.824685,0.02214
78,car,0.89929,0.768861,0.556876
77,car,0.901714,0.780747,0.587287
76,car,0.942745,0.879747,0.9112
75,car,0.892846,0.814312,1.06969
73,car,0.976412,0.902641,1.81276
70,car,0.965313,0.929754,2.10488
68,car,0.967178,0.893028,2.69122
65,car,0.956915,0.876584,3.03731
64,car,0.955848,0.839495,3.10092
56,car,0.96826,0.907075,4.24314
54,car,0.968991,0.882233,4.52293
48,car,0.97096,0.891183,4.99755
71,car,0.96066,0.893361,1.92209
12,car,0.925231,0.699358,11.1493
4,car,0.958977,0.789705,11.62
33,car,0.960773,0.815991,6.32164
30,car,0.910773,0.780677,6.391
34,car,0.972244,0.927954,6.27977
38,car,0.972365,0.871054,6.16374
80,car,0.879035,0.746513,0.573298
82,car,0.8376,0.611293,1.05845
95,car,0.263643,0.230494,0.443685
87,car,0.523271,0.363016,1.07144
83,car,0.941186,0.810521,2.41443
86,car,0.943951,0.798192,2.58606
100,car,0.425357,0.362564,0.411792
84,car,0.94315,0.795689,3.41483
90,car,0.941351,0.782923,3.17316
88,car,0.960886,0.763634,3.74111
92,car,0.937769,0.770343,3.59911
98,car,0.933794,0.786492,2.71126
94,car,0.919308,0.747884,3.77612
91,car,0.330967,0.250375,4.23439
97,car,0.932857,0.793882,3.36634
96,car,0.945289,0.742013,4.12461
99,car,0.957163,0.794976,3.03846
113,car,0.66365,0.399205,0.10398
110,car,0.881257,0.597895,0.40404
120,car,0.87759,0.729169,0.120809
102,car,0.958079,0.807551,2.51552
122,car,0.654868,0.583775,0.142573
125,car,0.757629,0.632868,0.158159
127,car,0.761746,0.633649,0.222832
117,car,0.946445,0.811266,0.951591
103,car,0.965212,0.800749,2.99746
101,car,0.937241,0.788113,3.823
112,car,0.901047,0.70693,1.39478
130,car,0.783145,0.664848,0.193196
126,car,0.925748,0.772927,0.973819
121,car,0.964549,0.817485,1.33199
123,car,0.909296,0.781506,1.59882
106,car,0.962489,0.791532,3.48364
133,car,0.971876,0.907565,0.994801
109,car,0.971794,0.830893,2.88849
107,car,0.95236,0.819337,3.37089
105,car,0.935721,0.761433,4.1212
108,car,0.942664,0.827665,3.43995
143,car,0.805955,0.782343,0.00904856
138,car,0.856475,0.758713,0.775644
81,person,0.887116,0.518931,9.66265
104,car,0.953906,0.757835,4.64131
116,car,0.883439,0.649397,2.88568
89,person,0.860159,0.610431,8.30305
142,car,0.948542,0.917499,0.6061
134,car,0.767966,0.701155,1.53436
124,car,0.964958,0.855011,2.69866
141,car,0.967083,0.907511,1.30381
128,car,0.97328,0.870141,2.60843
150,car,0.920526,0.904652,0.16756
147,car,0.865823,0.816882,0.444669
118,car,0.956101,0.828587,3.88191
155,car,0.792939,0.734562,0.0716293
153,car,0.850077,0.805289,0.546078
132,car,0.972686,0.873984,3.22989
131,car,0.933139,0.808299,3.39682
144,car,0.944347,0.849867,2.35439
136,car,0.966209,0.875545,3.73349
139,car,0.9677,0.861342,3.66455
148,car,0.919642,0.785452,2.3834
140,car,0.96083,0.878311,3.72132
160,car,0.835543,0.824685,0.00604979
159,car,0.89929,0.768861,0.527785
158,car,0.901714,0.780747,0.542173
157,car,0.942745,0.879747,0.894835
156,car,0.892846,0.814312,0.992187
154,car,0.976412,0.902641,1.6687
151,car,0.965313,0.929754,1.91756
149,car,0.967178,0.893028,2.40376
146,car,0.956915,0.876584,2.74737
145,car,0.955848,0.839495,2.76825
137,car,0.96826,0.907075,3.95134
135,car,0.968991,0.882233,4.13335
129,car,0.97096,0.891183,4.58746
115,car,0.972244,0.927954,5.82444
114,car,0.960773,0.815991,5.82817
111,car,0.910773,0.780677,5.87661
152,car,0.96066,0.893361,1.77458
93,car,0.925231,0.699358,10.8158
85,car,0.958977,0.789705,11.2844
119,car,0.972365,0.871054,5.70208
161,car,0.879035,0.746513,0.541755
163,car,0.8376,0.611293,1.1034
168,car,0.523271,0.363016,1.12121
176,car,0.263643,0.230494,0.400624
164,car,0.941186,0.810521,2.57661
167,car,0.943951,0.798192,2.68612
181,car,0.425357,0.362564,0.388991
165,car,0.94315,0.795689,3.52281
171,car,0.941351,0.782923,3.29097
173,car,0.937769,0.770343,3.69515
169,car,0.960886,0.763634,3.83473
179,car,0.933794,0.786492,2.76456
175,car,0.919308,0.747884,3.85379
172,car,0.330967,0.250375,4.40809
177,car,0.945289,0.742013,4.1328
178,car,0.932857,0.793882,3.39511
180,car,0.957163,0.794976,2.99621
194,car,0.66365,0.399205,0.140646
191,car,0.881257,0.597895,0.377283
201,car,0.87759,0.729169,0.0492341
183,car,0.958079,0.807551,2.4358
203,car,0.654868,0.583775,0.135399
206,car,0.757629,0.632868,0.189245
208,car,0.761746,0.633649,0.207972
198,car,0.946445,0.811266,0.84
184,car,0.965212,0.800749,2.90012
182,car,0.937241,0.788113,3.73771
193,car,0.901047,0.70693,1.33274
211,car,0.783145,0.664848,0.187845
207,car,0.925748,0.772927,0.977948
202,car,0.964549,0.817485,1.32897
204,car,0.909296,0.781506,1.65588
187,car,0.962489,0.791532,3.4122
190,car,0.971794,0.830893,2.87914
214,car,0.971876,0.907565,1.09105
188,car,0.95236,0.819337,3.36151
186,car,0.935721,0.761433,4.09591
189,car,0.942664,0.827665,3.40134
224,car,0.805955,0.782343,0.00872877
219,car,0.856475,0.758713,0.827749
162,person,0.887116,0.518931,9.68438
185,car,0.953906,0.757835,4.6345
197,car,0.883439,0.649397,2.80919
170,person,0.860159,0.610431,8.3378
223,car,0.948542,0.917499,0.533804
215,car,0.767966,0.701155,1.64484
