ID,x_initial,y_initial,x_final,y_final,cluster,,X,Y,ID,Cluster,x_c0,y_c0,x_c1,y_c1,x_c2,y_c2,x_c3,y_c3,x_c4,y_c4,,,,,Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster,,,X,Y,ID,Cluster,,,,
77,573,46,580,40,1,,531,28,76,1,#N/A,#N/A,531,28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,77,0.880,573,46,580,40,1,,,,,,,,,,
76,531,28,532,25,1,,598,59,74,1,#N/A,#N/A,598,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,76,0.814,531,28,532,25,1,,,,,,,,,,
74,572,48,598,59,1,,528,55,71,1,#N/A,#N/A,528,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,74,0.903,572,48,598,59,1,,,,,,,,,,
71,528,55,493,67,1,,578,34,69,1,#N/A,#N/A,578,34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,71,0.930,528,55,493,67,1,,,,,,,,,,
69,565,40,578,34,1,,517,43,66,1,#N/A,#N/A,517,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,69,0.893,565,40,578,34,1,,,,,,,,,,
66,517,43,528,42,1,,551,37,65,1,#N/A,#N/A,551,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,66,0.877,517,43,528,42,1,,,,,,,,,,
65,556,43,551,37,1,,532,51,57,1,#N/A,#N/A,532,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,65,0.839,556,43,551,37,1,,,,,,,,,,
57,532,51,576,110,1,,468,241,55,1,#N/A,#N/A,468,241,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,57,0.907,532,51,576,110,1,,,,,,,,,,
55,516,69,468,241,1,,513,53,49,1,#N/A,#N/A,513,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,55,0.882,516,69,468,241,1,,,,,,,,,,
49,513,53,526,52,1,,509,94,72,1,#N/A,#N/A,509,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,49,0.891,513,53,526,52,1,,,,,,,,,,
